Country,Open Resolvers,Internet users,Resolvers per person
Equatorial Guinea,8,181657,22707.1
Chad,12,387063,32255.3
Uzbekistan,437,15453227,35362.1
Nigeria,1705,86219965,50568.9
Mali,41,2212450,53962.2
Central African Republic,4,224432,56108.0
Cuba,65,3696765,56873.3
Turkmenistan,12,789151,65762.6
Ethiopia,59,4288023,72678.4
Sudan,105,10886813,103683.9
South Sudan,2,2179963,1089981.5
Taiwan,153170,#N/A,#N/A
Czechia,8315,#N/A,#N/A
Saint Vincent and the Grenadines,2316,#N/A,#N/A
Ivory Coast,1382,#N/A,#N/A
Saint Maarten,304,#N/A,#N/A
Guernsey,187,#N/A,#N/A
Isle of Man,154,#N/A,#N/A
San Marino,129,#N/A,#N/A
Curaçao,101,#N/A,#N/A
Guadeloupe,80,#N/A,#N/A
Réunion,79,#N/A,#N/A
Martinique,67,#N/A,#N/A
Jersey,55,#N/A,#N/A
French Guiana,36,#N/A,#N/A
Federated States of Micronesia,32,#N/A,#N/A
Turks and Caicos Islands,31,#N/A,#N/A
British Virgin Islands,31,#N/A,#N/A
Saint Martin,26,#N/A,#N/A
East Timor,22,#N/A,#N/A
Kosovo,19,#N/A,#N/A
São Tomé and Príncipe,17,#N/A,#N/A
Gibraltar,15,#N/A,#N/A
U.S. Virgin Islands,14,#N/A,#N/A
Cook Islands,11,#N/A,#N/A
Palau,10,#N/A,#N/A
Bonaire,9,#N/A,#N/A
British Indian Ocean Territory,6,#N/A,#N/A
Saint Pierre and Miquelon,5,#N/A,#N/A
Anguilla,5,#N/A,#N/A
Northern Mariana Islands,3,#N/A,#N/A
Falkland Islands,3,#N/A,#N/A
American Samoa,3,#N/A,#N/A
Saint-Barthélemy,2,#N/A,#N/A
Faroe Islands,2,#N/A,#N/A
Western Sahara,1,#N/A,#N/A
Wallis and Futuna,1,#N/A,#N/A
Niue,1,#N/A,#N/A
Nauru,1,#N/A,#N/A
